INPUT_TABLE,,,,,,,,,
LA,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
LA,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0,0.05,fixed
LA,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
LD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
LD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
LD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
LD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
LD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
MH,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0.03,0.03,fixed
MH,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2100,0.03,1,linear
ML,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
ML,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
ML,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
ML,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
ML,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
MN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
MN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
MN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
MN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
MN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
MP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0.001,0.001,fixed
MP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2050,0.001,0.05,linear
MP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
MP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
MZ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
MZ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
MZ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
MZ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
MZ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
NL,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
NL,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
NL,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
NL,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
NL,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
OD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
OD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
OD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
OD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
OD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
PB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
PB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
PB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
PB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
PB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
PC,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
PC,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
PC,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
PC,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
PC,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
RJ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
RJ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
RJ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
RJ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
RJ,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
SK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
SK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
SK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
SK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
SK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
TR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0.003,0.003,fixed
TR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2050,0.003,0.05,linear
TR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
TR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
TS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
TS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
TS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
TS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
TS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
UK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
UK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
UK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
UK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
UK,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
UP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0.02,0.02,fixed
UP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2030,0.02,0.03,linear
UP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2030,0.03,0.03,fixed
UP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2030,2050,0.03,0.06,linear
UP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.06,0.06,fixed
UP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.06,1,linear
WB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
WB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
WB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
WB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
WB,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
AN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
AN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
AN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.005,linear
AN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
AN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
AP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.002,0.002,fixed
AP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.002,0.05,linear
AP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
AP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
AR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
AR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
AR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
AR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
AR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
AS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
AS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
AS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
AS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
AS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
BR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
BR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
BR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
BR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
BR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
CG,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
CG,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
CG,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
CG,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
CG,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
CH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
CH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
CH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
CH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
CH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
DD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
DD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
DD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
DD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
DD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
DL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.06,0.06,fixed
DL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2100,0.06,1,linear
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.02,0.02,fixed
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.02,0.05,linear
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.005,linear
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.001,0.001,fixed
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.001,0.05,linear
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.005,linear
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.005,linear
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.01,0.01,fixed
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.01,0.05,linear
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.001,0.001,fixed
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.001,0.05,linear
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
